"No.","Time","Source","Destination","Protocol","Length","Info"
"90","75.252945300","192.168.0.106","57.144.169.32","TCP","66","55347  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"92","75.254736500","192.168.0.106","57.144.169.32","TCP","66","55348  >  5222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"93","75.256678600","57.144.169.32","192.168.0.106","TCP","66","443  >  55347 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"95","75.257030100","57.144.169.32","192.168.0.106","TCP","66","5222  >  55348 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"130","75.403382100","192.168.0.106","57.144.169.32","TCP","66","55349  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"133","75.406631100","57.144.169.32","192.168.0.106","TCP","66","443  >  55349 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1392 SACK_PERM WS=256"
"230","123.864299400","192.168.0.106","20.190.146.33","TCP","66","55360  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"231","123.864299300","192.168.0.106","20.190.146.33","TCP","66","55359  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"232","123.871168500","192.168.0.106","23.11.215.154","TCP","66","55361  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"233","123.874288900","23.11.215.154","192.168.0.106","TCP","66","443  >  55361 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"242","123.887975200","20.190.146.33","192.168.0.106","TCP","66","443  >  55360 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"245","123.890299000","20.190.146.33","192.168.0.106","TCP","66","443  >  55359 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"450","145.513416800","192.168.0.106","74.226.64.245","TCP","66","55369  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"454","145.704899500","192.168.0.106","204.79.197.222","TCP","66","55370  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"455","145.704973400","192.168.0.106","150.171.64.254","TCP","66","55371  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"456","145.705106200","192.168.0.106","52.108.9.254","TCP","66","55372  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"457","145.705301300","192.168.0.106","172.202.64.254","TCP","66","55373  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"459","145.705529500","192.168.0.106","204.79.197.254","TCP","66","55374  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"461","145.705692800","74.226.64.245","192.168.0.106","TCP","66","443  >  55369 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1440 SACK_PERM WS=1024"
"464","145.706324200","192.168.0.106","106.51.42.33","TCP","66","55375  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"465","145.707304200","192.168.0.106","13.107.228.254","TCP","66","55376  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"468","145.708494800","106.51.42.33","192.168.0.106","TCP","66","443  >  55375 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1384 SACK_PERM WS=128"
"470","145.709121600","192.168.0.106","204.79.197.222","TCP","66","55377  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"477","145.714600300","150.171.64.254","192.168.0.106","TCP","66","443  >  55371 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"478","145.714600300","52.108.9.254","192.168.0.106","TCP","66","443  >  55372 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"479","145.714600300","172.202.64.254","192.168.0.106","TCP","66","443  >  55373 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"480","145.714600300","204.79.197.222","192.168.0.106","TCP","66","443  >  55370 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"487","145.715449000","204.79.197.254","192.168.0.106","TCP","66","443  >  55374 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"492","145.716772600","13.107.228.254","192.168.0.106","TCP","66","443  >  55376 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 SACK_PERM WS=512"
"499","145.718345100","204.79.197.222","192.168.0.106","TCP","66","443  >  55377 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"724","147.066521200","192.168.0.106","20.190.146.33","TCP","66","55378  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"725","147.066658400","192.168.0.106","20.190.146.33","TCP","66","55379  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"726","147.090391900","20.190.146.33","192.168.0.106","TCP","66","443  >  55379 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"728","147.092961800","20.190.146.33","192.168.0.106","TCP","66","443  >  55378 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"990","228.003263100","192.168.0.106","52.123.226.83","TCP","66","55392  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"991","228.015738800","52.123.226.83","192.168.0.106","TCP","66","443  >  55392 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1440 WS=256 SACK_PERM"
"1092","286.462064600","192.168.0.106","57.144.169.32","TCP","66","55405  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"1094","286.462890600","192.168.0.106","57.144.169.32","TCP","66","55406  >  5222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
